,Code,Borough,Month,Average Price,Year
410,E09000015,Harrow,9,526389.0,2017
411,E09000016,Havering,9,379655.0,2017
412,E09000017,Hillingdon,9,452468.0,2017
413,E09000018,Hounslow,9,484162.0,2017
414,E09000019,Islington,9,786563.0,2017
415,E09000020,Kensington and Chelsea,9,2087382.0,2017
416,E09000021,Kingston upon Thames,9,569994.0,2017
417,E09000022,Lambeth,9,606992.0,2017
418,E09000023,Lewisham,9,464842.0,2017
419,E09000024,Merton,9,622630.0,2017
420,E09000025,Newham,9,408103.0,2017
421,E09000026,Redbridge,9,446246.0,2017
422,E09000027,Richmond upon Thames,9,807646.0,2017
423,E09000028,Southwark,9,667660.0,2017
424,E09000029,Sutton,9,397078.0,2017
425,E09000030,Tower Hamlets,9,545748.0,2017
426,E09000031,Waltham Forest,9,454901.0,2017
427,E09000032,Wandsworth,9,816530.0,2017
428,E09000033,Westminster,9,1644862.0,2017
429,E09000001,City of London,12,950759.0,2017
430,E09000002,Barking and Dagenham,12,301518.0,2017
431,E09000003,Barnet,12,667593.0,2017
432,E09000004,Bexley,12,357778.0,2017
433,E09000005,Brent,12,578704.0,2017
434,E09000006,Bromley,12,502622.0,2017
435,E09000007,Camden,12,1099875.0,2017
436,E09000008,Croydon,12,399645.0,2017
437,E09000009,Ealing,12,578109.0,2017
438,E09000010,Enfield,12,463805.0,2017
439,E09000011,Greenwich,12,462819.0,2017
440,E09000012,Hackney,12,614954.0,2017
441,E09000013,Hammersmith and Fulham,12,972231.0,2017
442,E09000014,Haringey,12,683987.0,2017
443,E09000015,Harrow,12,527206.0,2017
444,E09000016,Havering,12,387535.0,2017
445,E09000017,Hillingdon,12,452271.0,2017
446,E09000018,Hounslow,12,507876.0,2017
447,E09000019,Islington,12,778290.0,2017
448,E09000020,Kensington and Chelsea,12,2092484.0,2017
449,E09000021,Kingston upon Thames,12,573938.0,2017
450,E09000022,Lambeth,12,616125.0,2017
451,E09000023,Lewisham,12,475142.0,2017
452,E09000024,Merton,12,638519.0,2017
453,E09000025,Newham,12,409477.0,2017
454,E09000026,Redbridge,12,452436.0,2017
455,E09000027,Richmond upon Thames,12,819043.0,2017
456,E09000028,Southwark,12,641209.0,2017
457,E09000029,Sutton,12,402120.0,2017
458,E09000030,Tower Hamlets,12,554009.0,2017
459,E09000031,Waltham Forest,12,459921.0,2017
460,E09000032,Wandsworth,12,818443.0,2017
461,E09000033,Westminster,12,1718123.0,2017
462,E09000001,City of London,10,886406.0,2014
463,E09000002,Barking and Dagenham,10,211464.5,2014
464,E09000003,Barnet,10,532309.5,2014
465,E09000004,Bexley,10,263003.5,2014
466,E09000005,Brent,10,463774.5,2014
467,E09000006,Bromley,10,393486.5,2014
468,E09000007,Camden,10,941062.5,2014
469,E09000008,Croydon,10,296443.0,2014
470,E09000009,Ealing,10,494104.5,2014
471,E09000010,Enfield,10,344347.5,2014
472,E09000011,Greenwich,10,367755.0,2014
473,E09000012,Hackney,10,493400.5,2014
474,E09000013,Hammersmith and Fulham,10,861851.5,2014
475,E09000014,Haringey,10,535342.5,2014
476,E09000015,Harrow,10,421616.5,2014
477,E09000016,Havering,10,279768.0,2014
478,E09000017,Hillingdon,10,341553.5,2014
479,E09000018,Hounslow,10,422390.0,2014
480,E09000019,Islington,10,658033.5,2014
481,E09000020,Kensington and Chelsea,10,1916287.0,2014
482,E09000021,Kingston upon Thames,10,465437.5,2014
483,E09000022,Lambeth,10,532642.5,2014
484,E09000023,Lewisham,10,353312.5,2014
485,E09000024,Merton,10,527310.5,2014
486,E09000025,Newham,10,264131.0,2014
487,E09000026,Redbridge,10,333600.5,2014
488,E09000027,Richmond upon Thames,10,716881.0,2014
489,E09000028,Southwark,10,509615.0,2014
490,E09000029,Sutton,10,316466.5,2014
491,E09000030,Tower Hamlets,10,442446.5,2014
492,E09000031,Waltham Forest,10,326837.5,2014
493,E09000032,Wandsworth,10,670698.5,2014
494,E09000033,Westminster,10,1429562.0,2014
495,E09000001,City of London,11,894045.0,2014
496,E09000002,Barking and Dagenham,11,215810.0,2014
497,E09000003,Barnet,11,534786.0,2014
498,E09000004,Bexley,11,267267.0,2014
499,E09000005,Brent,11,468858.0,2014
500,E09000006,Bromley,11,397486.0,2014
501,E09000007,Camden,11,966927.0,2014
502,E09000008,Croydon,11,300572.0,2014
503,E09000009,Ealing,11,501526.0,2014
504,E09000010,Enfield,11,350007.0,2014
505,E09000011,Greenwich,11,369976.0,2014
506,E09000012,Hackney,11,501632.0,2014
507,E09000013,Hammersmith and Fulham,11,886073.0,2014
508,E09000014,Haringey,11,542902.0,2014
509,E09000015,Harrow,11,427077.0,2014
510,E09000016,Havering,11,284185.0,2014
511,E09000017,Hillingdon,11,348123.0,2014
512,E09000018,Hounslow,11,427359.0,2014
513,E09000019,Islington,11,669868.0,2014
514,E09000020,Kensington and Chelsea,11,1946176.0,2014
515,E09000021,Kingston upon Thames,11,475080.0,2014
516,E09000022,Lambeth,11,538039.0,2014
517,E09000023,Lewisham,11,360998.0,2014
518,E09000024,Merton,11,537708.0,2014
519,E09000025,Newham,11,269497.0,2014
520,E09000026,Redbridge,11,338666.0,2014
521,E09000027,Richmond upon Thames,11,730458.0,2014
522,E09000028,Southwark,11,518143.0,2014
523,E09000029,Sutton,11,322434.0,2014
524,E09000030,Tower Hamlets,11,445318.0,2014
525,E09000031,Waltham Forest,11,334325.0,2014
526,E09000032,Wandsworth,11,681730.0,2014
527,E09000033,Westminster,11,1464108.0,2014
528,E09000001,City of London,1,898317.0,2015
529,E09000002,Barking and Dagenham,1,218419.5,2015
530,E09000003,Barnet,1,539586.0,2015
531,E09000004,Bexley,1,270967.5,2015
532,E09000005,Brent,1,475063.5,2015
533,E09000006,Bromley,1,403859.5,2015
534,E09000007,Camden,1,975785.0,2015
535,E09000008,Croydon,1,305098.0,2015
536,E09000009,Ealing,1,503859.0,2015
537,E09000010,Enfield,1,356592.5,2015
538,E09000011,Greenwich,1,371447.0,2015
539,E09000012,Hackney,1,504574.5,2015
540,E09000013,Hammersmith and Fulham,1,895880.5,2015
541,E09000014,Haringey,1,546605.5,2015
542,E09000015,Harrow,1,433107.0,2015
543,E09000016,Havering,1,286960.0,2015
544,E09000017,Hillingdon,1,354971.5,2015
545,E09000018,Hounslow,1,428506.0,2015
546,E09000019,Islington,1,678081.0,2015
547,E09000020,Kensington and Chelsea,1,1948821.5,2015
548,E09000021,Kingston upon Thames,1,477682.5,2015
549,E09000022,Lambeth,1,537504.0,2015
550,E09000023,Lewisham,1,366932.5,2015
551,E09000024,Merton,1,546308.5,2015
552,E09000025,Newham,1,274596.5,2015
553,E09000026,Redbridge,1,344353.5,2015
554,E09000027,Richmond upon Thames,1,737052.0,2015
555,E09000028,Southwark,1,527025.0,2015
556,E09000029,Sutton,1,326333.5,2015
557,E09000030,Tower Hamlets,1,445858.5,2015
558,E09000031,Waltham Forest,1,339618.5,2015
559,E09000032,Wandsworth,1,686797.0,2015
560,E09000033,Westminster,1,1477234.0,2015
561,E09000001,City of London,2,902589.0,2015
562,E09000002,Barking and Dagenham,2,221029.0,2015
563,E09000003,Barnet,2,544386.0,2015
564,E09000004,Bexley,2,274668.0,2015
565,E09000005,Brent,2,481269.0,2015
566,E09000006,Bromley,2,410233.0,2015
567,E09000007,Camden,2,984643.0,2015
